,xi,mean,std_dev
0,-0.916290731874155,1.0181990105410534,0.010195165017849735
1,-0.8888917576860406,1.0266335442309753,0.010189142437405554
2,-0.8622235106038793,1.0350429333497004,0.010183293155891669
3,-0.8362480242006186,1.043422117429941,0.010177619428054431
4,-0.8109302162163287,1.0517665385368389,0.010172122802842364
5,-0.7862376036259572,1.0600721047003958,0.01016680419485939
6,-0.7621400520468967,1.0683351550983389,0.01016166395089623
7,-0.7386095546367026,1.0765524270669573,0.01015670191161537
8,-0.7156200364120038,1.0847210249751527,0.010151917468494781
9,-0.6931471805599453,1.0928383909554782,0.010147309616199144
10,-0.67116827384117,1.1009022774821347,0.010142877000590711
11,-0.6496620686202064,1.1089107217398464,0.010138617962602979
12,-0.6286086594223742,1.1168620217451348,0.010134530578196918
13,-0.6079893722196383,1.1247547141262544,0.010130612694679809
14,-0.587786664902119,1.1325875535094951,0.010126861963604877
15,-0.5679840376059393,1.1403594934258763,0.010123275870497264
16,-0.5485659517488376,1.1480696686472243,0.010119851761663523
17,-0.5295177567781432,1.1557173788733621,0.010116586868305936
18,-0.5108256237659905,1.163302073691284,0.010113478328135186
19,-0.49247648509779407,1.170823338719174,0.010110523204733556
20,-0.4744579795951158,1.1782808828536986,0.010107718504821457
21,-0.456758402495715,1.1856745265534983,0.010105061193647295
22,-0.43936665978384565,1.1930041910778755,0.01010254820864495
23,-0.4222722264245454,1.2002698886093413,0.010100176471505821
24,-0.4054651081081643,1.2074717132038586,0.010097942898874055
25,-0.3889358061569538,1.2146098324961372,0.010095844411727296
26,-0.3726752852851735,1.2216844801091042,0.010093877943585166
27,-0.35667494393873245,1.228695948707184,0.010092040447713684
28,-0.3409265869705932,1.2356445836466037,0.010090328903340133
29,-0.32542240043462783,1.2425307771787857,0.01008874032106033
30,-0.31015492830383945,1.249354963149699,0.010087271747449816
31,-0.29511705093929896,1.2561176121670883,0.010085920269027196
32,-0.2803019651541584,1.2628192271949388,0.01008468301557344
33,-0.2657031657330056,1.269460339536181,0.01008355716293167
34,-0.25131442828090605,1.2760415051741347,0.010082539935306684
35,-0.23712979328894954,1.282563301444327,0.010081628607129085
36,-0.2231435513142097,1.2890263240041122,0.010080820504545665
37,-0.20935022918187393,1.2954311840834976,0.010080113006563479
38,-0.19574457712609536,1.301778505982952,0.010079503545876518
39,-0.1823215567939546,1.3080689248046724,0.010078989609459799
40,-0.16907633004393385,1.3143030844015584,0.010078568738869175
41,-0.15600424847658115,1.3204816355103048,0.010078238530403388
42,-0.1431008436406733,1.3266052340675856,0.010077996635042061
43,-0.13036181786324358,1.3326745396836372,0.01007784075821162
44,-0.11778303565638339,1.3386902142785857,0.010077768659482227
45,-0.10536051565782628,1.3446529208272295,0.01007777815205088
46,-0.09309042306601185,1.3505633222579831,0.010077867102190219
47,-0.08096906253366709,1.356422080440666,0.010078033428603615
48,-0.06899287148695143,1.3622298552908205,0.010078275101663632
49,-0.05715841383994852,1.3679873039660606,0.010078590142636979
50,-0.04546237407675729,1.37369508014649,0.01007897662281791
51,-0.03390155167568134,1.379353833392031,0.01007943266265115
52,-0.022472855852058514,1.384964208576264,0.010079956430799376
53,-0.011173300598125189,1.3905268453801796,0.010080546143169469
54,0.0,1.396042377854883,0.01008120006197235
55,0.011049836186584935,1.4015114340206196,0.01008191649470874
56,0.021978906718775167,1.4069346355364587,0.01008269379314462
57,0.032789822822990755,1.41231259739925,0.010083530352375854
58,0.04348511193973889,1.4176459276951618,0.010084424609736011
59,0.05406722127027579,1.4229352273717382,0.010085375043838832
60,0.06453852113757137,1.428181090064129,0.010086380173576787
61,0.07490130817311791,1.4333841019383158,0.010087438557084289
62,0.08515780834030696,1.4385448415624182,0.010088548790795264
63,0.09531017980432493,1.4436638798134709,0.01008970950845842
64,0.10536051565782635,1.4487417797965918,0.01009091938015113
65,0.1153108465109944,1.4537790967876845,0.010092177111354074
66,0.125163142954006,1.4587763781971717,0.010093481442018817
67,0.13491931789937064,1.4637341635453822,0.010094831145636111
68,0.1445812288111075,1.46865298446437,0.010096225028350538
69,0.15415067982725836,1.4735333646957542,0.01009766192806808
70,0.16362942378180212,1.4783758201194814,0.01009914071362004
71,0.17301916413164128,1.4831808587782689,0.010100660283877681
72,0.1823215567939548,1.4879489809222832,0.010102219566953815
73,0.19153821189887874,1.4926806790577984,0.010103817519406276
74,0.20067069546215124,1.4973764380006287,0.010105453125407773
75,0.2097205309820691,1.502036734951048,0.010107125396036061
76,0.2186892009648295,1.5066620395475638,0.010108833368478575
77,0.2275781483820755,1.5112528139584356,0.01011057610531508
78,0.23638877806423034,1.5158095129536377,0.010112352693837224
79,0.2451224580329849,1.5203325839893296,0.010114162245300826
80,0.25378052077609964,1.5248224673006234,0.010116003894299008
81,0.26236426446749106,1.5292795959881005,0.010117876798088848
82,0.2708749541353997,1.5337043961111476,0.010119780135953972
83,0.2793138227812645,1.538097286788684,0.01012171310859633
84,0.287682072451781,1.542458680288064,0.010123674937506455
85,0.2959808752664761,1.5467889821336485,0.010125664864402811
86,0.30421137440299156,1.551088591196958,0.01012768215065254
87,0.31237468504215243,1.5553578998114972,0.01012972607672849
88,0.32047189527477177,1.5595972938566547,0.010131795941662856
89,0.32850406697203605,1.5638071528671844,0.010133891062512572
90,0.3364722366212129,1.5679878501398434,0.010136010773891284
91,0.3443774161283261,1.5721397528283205,0.010138154427424117
92,0.3522205935893523,1.576263222046805,0.010140321391333489
93,0.3600027340314072,1.5803586129745781,0.010142511049916344
94,0.3677247801253175,1.5844262749469635,0.010144722803119606
95,0.3753876528708866,1.5884665515654888,0.010146956066128978
96,0.3829922522561059,1.5924797807876985,0.010149210268886322
97,0.39053945789148875,1.596466295039363,0.010151484855740849
98,0.3980301296206463,1.6004264212909902,0.010153779284998872
99,0.4054651081081644,1.604360481174922,0.010156093028564997
