load,log,affine,nlayers,neurons,nparams,intR2,extR2
axial,yes,yes,1,4,21,0.4450,-0.4089
axial,yes,yes,1,16,81,0.8713,-0.1399
axial,yes,yes,1,64,321,0.9755,0.2385
axial,yes,yes,1,256,1281,0.9899,0.8030
axial,yes,yes,1,1024,5121,0.9915,0.9532
axial,yes,yes,1,4096,20481,0.9938,0.9727
axial,yes,yes,2,2,17,-0.8451,-0.2490
axial,yes,yes,2,4,41,-0.5219,-0.3465
axial,yes,yes,2,8,113,0.5545,-0.2599
axial,yes,yes,2,32,1217,0.9015,0.3345
axial,yes,yes,2,64,4481,0.9729,0.7009
axial,yes,yes,2,128,17153,0.9760,0.8060
axial,yes,yes,3,2,23,-0.7112,-0.2012
axial,yes,yes,3,4,61,-1.4488,-0.3194
axial,yes,yes,3,8,185,-0.068,-0.2378
axial,yes,yes,3,32,2273,0.7368,0.1957
axial,yes,yes,3,64,8641,0.8093,0.5733
axial,yes,yes,3,128,33665,0.8812,0.7293
axial,yes,yes,4,2,29,-0.5870,-0.2025
axial,yes,yes,4,4,81,-3.5607,-0.2730
axial,yes,yes,4,8,257,-1.084,-0.2519
axial,yes,yes,4,32,3329,0.3132,-0.0366
axial,yes,yes,4,64,12801,0.5693,0.1770
axial,yes,yes,4,128,50177,0.7855,0.5104
axial,no,no,1,4,21,-0.1872,-0.3909
axial,no,no,1,16,81,0.3927,-0.4843
axial,no,no,1,64,321,0.8591,-0.5950
axial,no,no,1,256,1281,0.9708,-0.6217
axial,no,no,1,1024,5121,0.9908,-0.0646
axial,no,no,1,4096,20481,0.9905,0.1837
axial,no,no,2,2,17,-0.8875,-0.3616
axial,no,no,2,4,41,-0.6030,-0.4491
axial,no,no,2,8,113,0.2179,-0.4774
axial,no,no,2,32,1217,0.9104,-0.4599
axial,no,no,2,64,4481,0.9637,-0.0873
axial,no,no,2,128,17153,0.9815,0.0630
axial,no,no,2,256,67073,0.9832,0.2665
axial,no,no,3,2,23,-0.3286,-0.1713
axial,no,no,3,4,61,-0.8405,-0.4203
axial,no,no,3,8,185,0.3072,-0.4318
axial,no,no,3,32,2273,0.8812,-0.1231
axial,no,no,3,64,8641,0.9377,0.0609
axial,no,no,3,128,33665,0.9669,-0.0051
axial,no,no,3,256,132865,0.9674,0.1593
axial,no,no,4,2,29,-0.3017,-0.1712
axial,no,no,4,4,81,-0.2018,-0.3732
axial,no,no,4,8,257,0.0805,-0.4146
axial,no,no,4,32,3329,0.8339,-0.3648
axial,no,no,4,64,12801,0.9019,-0.1928
axial,no,no,4,128,50177,0.9310,-0.3086