load,dataf,ndata,model,interp_R2,extrap_R2,train_time_sec
axial,0.02,30,ANN_log,0.8481,-0.4630,1.3743
axial,0.05,63,ANN_log,0.9015,-0.4381,1.2687
axial,0.1,108,ANN_log,0.8849,0.0520,1.4200
axial,0.2,165,ANN_log,0.9400,0.2971,1.4852
axial,0.4,294,ANN_log,0.9741,0.4872,1.609
axial,0.7,544,ANN_log,0.9870,0.8643,1.8231
axial,1.0,1000,ANN_log,0.99167,0.9546,2.038
axial,2.0,1800,ANN_log,0.9906,0.9518,2.9478
axial,4.0,3255,ANN_log,0.9927,0.9686,4.2395
axial,8.0,8000,ANN_log,0.9938,0.9822,8.7835
axial,16.0,16000,ANN_log,0.9938,0.9834,1.352e1
axial,0.02,30,ANN_nolog,0.8761,-0.4200,2.4082
axial,0.05,63,ANN_nolog,0.794,-0.501,2.2126
axial,0.1,108,ANN_nolog,0.764,-0.5173,2.5022
axial,0.2,165,ANN_nolog,0.7065,-0.709,2.5989
axial,0.4,294,ANN_nolog,0.943,-0.718,2.8895
axial,0.7,544,ANN_nolog,0.972,-0.691,3.2787
axial,1.0,1000,ANN_nolog,0.9887,-0.1147,4.1774
axial,2.0,1800,ANN_nolog,0.9914,0.3504,5.7832
axial,4.0,3255,ANN_nolog,0.9922,0.5108,8.1569
axial,8.0,8000,ANN_nolog,0.9924,0.548,1.726e1
axial,16.0,16000,ANN_nolog,0.9936,0.5837,2.67e1
axial,0.02,30,GP,0.9887,-0.3655,0.419
axial,0.05,63,GP,0.9604,0.1858,29.192
axial,0.1,108,GP,0.9758,0.3473,1.372e2
axial,0.2,165,GP,0.9874,0.7588,8.995e1
axial,0.4,294,GP,0.9926,0.7620,9.835e1
axial,0.7,544,GP,0.9942,0.9525,2.45e2
axial,1.0,1000,GP,0.9972,0.9966,4.7012e2
shear,0.015,24,ANN_relu,-0.6822,-0.4383,0.0
shear,0.02,30,ANN_relu,-0.5302,-0.5197,0.0
shear,0.05,63,ANN_relu,-0.0025,-0.5275,0.0
shear,0.1,108,ANN_relu,0.4938,0.1295,0.0
shear,0.2,165,ANN_relu,0.7589,0.6550,0.0
shear,0.4,294,ANN_relu,0.9208,0.7562,0.0
shear,0.7,544,ANN_relu,0.9626,0.8621,0.0
shear,1.0,1000,ANN_relu,0.9863,0.9385,0.0
shear,2.0,1800,ANN_relu,0.9941,0.9745,0.0
shear,4.0,3255,ANN_relu,0.9971,0.9845,0.0
shear,8.0,8000,ANN_relu,0.9975,0.9824,0.0
shear,16.0,16000,ANN_relu,0.9986,0.9916,0.0
shear,0.015,24,GP,0.9016,0.3038,0.0
shear,0.02,30,GP,0.9859,0.9886,0.0
shear,0.05,63,GP,0.9998,0.9992,0.0
shear,0.1,108,GP,0.9997,0.9979,0.0
shear,0.2,165,GP,0.9988,0.9806,0.0
shear,0.4,294,GP,0.9995,0.9963,0.0
shear,0.7,544,GP,0.9998,0.9919,0.0
shear,1.0,1000,GP,0.9992,0.9964,0.0